strategy,sharpe_full,sharpe_is,sharpe_oos,sharpe_nocost,cost_drag,sortino_oos,max_dd_full,hit_rate,profit_factor,trades_per_day,avg_hold_bars,turnover
gap_fade_h6,3.7000610865314973,0.06540368324847902,10.701439611460135,4.972513146276116,1.2724520597446185,5.715079347174069,-0.03360917910903183,0.55,2.043511824217361,0.9090909090909091,6.0,80.0
tod_first_hour_L,3.2495967438837075,1.6976935233112413,6.5152260742662405,4.28373693340502,1.0341401895213127,4.261573660493315,-0.038705449427419825,0.5681818181818182,1.9776048332517222,1.0,12.0,88.0
tod_last_hour_S,3.0723338943104626,1.6355837483566857,6.491471869872448,4.098149065053853,1.0258151707433907,3.9529337878013924,-0.04261276232584321,0.6590909090909091,1.7761359815179267,1.0,11.0,87.0
tsmom_n24,0.34465818573687473,-1.702672344885927,4.875725243734582,3.8796224037693143,3.5349642180324397,6.007678207415769,-0.08349140413865963,0.31601731601731603,1.0547873527728542,5.25,10.095238095238095,461.0
gap_fade_h3,-0.413342160649659,-3.2172821191669745,4.709587304201891,1.3801399091545832,1.7934820698042422,1.6352937975323372,-0.04038234087339587,0.525,1.0797229919981803,0.9090909090909091,3.0,80.0
volregime_high_l12,-1.8245712810415833,-4.488285619202845,4.703072689329449,2.0621149948190522,3.8866862758606358,3.095166842366795,-0.06625426954503366,0.4,1.0136624203366627,2.840909090909091,4.264,250.0
tod_lunch_L,-2.8267329088508846,-4.834406868809399,1.6930875266941752,-1.2367506046651462,1.5899823041857384,1.2936904818918242,-0.07676231483822749,0.4772727272727273,0.7385917904262088,1.0,18.0,88.0
tsmom_n12,-3.531385861273567,-5.43929468141083,0.7637533064751237,2.1613002531521217,5.692686114425689,1.0313083091990238,-0.21121281250647728,0.28087167070217917,0.8203949774522089,9.386363636363637,6.924939467312349,825.0
vwapz_w24_z2.5,-1.0122291069138805,-1.4605072241049326,0.05890253030640565,0.40906368126658527,1.4212927881804658,0.0325885035084211,-0.037440112827702876,0.5641025641025641,0.9379543946416609,0.8863636363636364,7.282051282051282,78.0
orb_30m,-1.5715337945464953,-1.7573556239203307,-1.150187886744375,-0.6655378070446311,0.9059959875018643,-1.5926486939296343,-0.15058226578423373,0.4375,0.8514152660275611,1.4545454545454546,41.71875,127.0
orb_15m,-1.9109762316673542,-2.1297362189869,-1.4061742840345384,-0.9280688377593632,0.982907393907991,-2.0371826678652365,-0.1646922716279583,0.40789473684210525,0.8308756023552427,1.7272727272727273,40.28947368421053,151.0
vwapz_w48_z2.0,2.5941305777843326,5.2965093789081825,-3.2571164126921652,4.001633091105229,1.4075025133208965,-2.2072651350988926,-0.04773140425626776,0.7115384615384616,1.7021038632205734,1.1818181818181819,9.384615384615385,104.0
vwapz_w24_z2.0,-2.2203354032099103,-1.770964586934607,-3.311133590915974,0.0484762125804615,2.268811615790372,-2.3550610365948073,-0.08297955433424042,0.5384615384615384,0.8780987381869967,2.0681818181818183,8.098901098901099,182.0
