datetime,gap_fade_h6,tod_first_hour_L
2026-07-20 00:00:00-04:00,0.0,0.0
2026-07-21 00:00:00-04:00,0.0,-273.8218318683794
2026-07-22 00:00:00-04:00,616.8512479930068,642.0255335363763
2026-07-23 00:00:00-04:00,531.8144599078951,282.00866856182984
2026-07-24 00:00:00-04:00,-92.34343242102477,-286.930138083786
2026-07-27 00:00:00-04:00,385.689648094718,-69.10380912332039
2026-07-28 00:00:00-04:00,-54.886627903964836,79.36667606710398
2026-07-29 00:00:00-04:00,69.44578000571346,-37.789911964544444
2026-07-30 00:00:00-04:00,242.8725025953172,180.02207037090557
2026-07-31 00:00:00-04:00,-140.08906453775126,-43.84235601729597
2026-08-03 00:00:00-04:00,199.03979869589966,38.612141734949546
2026-08-04 00:00:00-04:00,316.2913482095755,418.98092859731696
2026-08-05 00:00:00-04:00,-280.68880745739443,13.047331218185718
2026-08-06 00:00:00-04:00,368.4440868439269,634.8985163516772
