strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,n_days,trades_per_year
SPY Buy & Hold,1.2383883603805197,0.13086903902765568,0.06124178903252464,2.136923840649936,-0.450005737338429,0.6923076923076923,1651,0.0
Momentum,1971.0008018452895,2.18136094658949,0.1175368362419034,18.55895578216871,-0.07868590457057081,0.8480629539951574,1652,12.915254237288135
Mean Reversion,-0.9996685819142483,-0.7054154746012091,0.09140996526537971,-7.717052211465785,-0.9996685819142483,0.0006053268765133172,1652,25.65975126568347
Statistical Arbitrage,-0.6298115332297445,-0.14073657232204873,0.03132021916368034,-4.493473420047141,-0.6298115332297445,0.054512416717141125,1651,0.0
Equal Weight,3.605597888982067,0.26252651166100094,0.1250404048072196,2.099533443335775,-0.3780732988944587,0.6656571774682011,1651,0.0
Inverse Volatility,3.3967072430191676,0.25361339349324674,0.08951143548912067,2.8333071870361324,-0.3490254314042446,0.6226529376135675,1651,0.0
Risk Parity,3.6917744906970213,0.26610401568156195,0.08318790271646077,3.19883068321311,-0.3477115866273103,0.6038764385221078,1651,0.0
